Step|length,BatchTime,BatchAvgTime,Loss,AvgLoss,Accuracy,AverageAccuracy
[0/2],11.165,11.165,0.9636,0.9636),0.440,0.440
[1/2],4.784,7.975,0.8371,0.9262),0.429,0.437
[0/2],11.747,11.747,0.9226,0.9226),0.500,0.500
[1/2],4.409,8.078,0.9023,0.9166),0.524,0.507
[0/2],10.981,10.981,1.0908,1.0908),0.400,0.400
[1/2],4.279,7.630,0.9932,1.0620),0.524,0.437
[0/2],11.267,11.267,0.9249,0.9249),0.460,0.460
[1/2],4.560,7.914,0.9219,0.9240),0.571,0.493
[0/2],11.516,11.516,0.8971,0.8971),0.480,0.480
[1/2],4.237,7.877,0.9868,0.9236),0.381,0.451
[0/2],10.738,10.738,0.9142,0.9142),0.480,0.480
[1/2],4.397,7.568,0.9292,0.9186),0.429,0.465
[0/2],10.547,10.547,1.0038,1.0038),0.400,0.400
[1/2],4.772,7.660,0.9245,0.9803),0.571,0.451
[0/2],10.803,10.803,0.9191,0.9191),0.500,0.500
[1/2],4.857,7.830,1.0535,0.9588),0.286,0.437
[0/2],11.734,11.734,1.0458,1.0458),0.420,0.420
[1/2],4.179,7.956,1.0445,1.0454),0.476,0.437
[0/2],11.318,11.318,0.9578,0.9578),0.460,0.460
[1/2],4.422,7.870,1.0165,0.9751),0.381,0.437
[0/2],9.755,9.755,0.9151,0.9151),0.520,0.520
[1/2],4.227,6.991,0.9680,0.9308),0.381,0.479
[0/2],9.751,9.751,0.8799,0.8799),0.460,0.460
[1/2],4.501,7.126,0.8495,0.8709),0.476,0.465
[0/2],9.772,9.772,1.0321,1.0321),0.400,0.400
[1/2],4.222,6.997,0.7520,0.9493),0.714,0.493
[0/2],10.501,10.501,0.9613,0.9613),0.420,0.420
[1/2],4.518,7.509,0.8721,0.9349),0.476,0.437
[0/2],11.159,11.159,0.9069,0.9069),0.400,0.400
[1/2],4.838,7.999,0.9945,0.9328),0.381,0.394
[0/2],9.865,9.865,1.0083,1.0083),0.480,0.480
[1/2],4.919,7.392,0.9609,0.9943),0.333,0.437
[0/2],10.816,10.816,0.9266,0.9266),0.460,0.460
[1/2],4.343,7.580,0.8540,0.9051),0.333,0.423
[0/2],10.230,10.230,1.0639,1.0639),0.440,0.440
[1/2],4.847,7.539,0.9916,1.0425),0.429,0.437
[0/2],10.927,10.927,1.0130,1.0130),0.400,0.400
[1/2],4.392,7.660,0.9066,0.9815),0.571,0.451
[0/2],10.677,10.677,1.0290,1.0290),0.400,0.400
[1/2],4.293,7.485,0.8714,0.9824),0.524,0.437
[0/2],11.226,11.226,0.9709,0.9709),0.460,0.460
[1/2],4.352,7.789,0.8133,0.9243),0.429,0.451
[0/2],10.303,10.303,1.0540,1.0540),0.400,0.400
[1/2],4.823,7.563,0.9576,1.0255),0.429,0.408
[0/2],11.060,11.060,1.0204,1.0204),0.420,0.420
[1/2],4.593,7.826,0.8569,0.9721),0.429,0.423
[0/2],10.777,10.777,0.8776,0.8776),0.460,0.460
[1/2],4.985,7.881,1.0455,0.9273),0.333,0.423
[0/2],11.342,11.342,1.0284,1.0284),0.420,0.420
[1/2],4.207,7.774,0.8418,0.9732),0.476,0.437
[0/2],11.245,11.245,0.9222,0.9222),0.420,0.420
[1/2],4.351,7.798,1.0008,0.9454),0.476,0.437
[0/2],11.717,11.717,0.8865,0.8865),0.460,0.460
[1/2],4.118,7.917,1.0384,0.9314),0.524,0.479
[0/2],10.571,10.571,0.9525,0.9525),0.520,0.520
